"","LM-AIC","Pois-AIC","NB-AIC","LM-BIC","Pois-BIC","NB-BIC"
"CASES_lag4",6339.09826228695,38354.0859637576,6805.23753713558,6356.48767001621,38365.6789022437,6822.62694486484
"CASES_lag4-TEST",6239.93574765927,28208.9045670214,6482.52214297499,6263.12162463161,28226.2939747507,6505.70801994733
"CASES_lag4-MOB",5538.26436335792,31090.6513107186,6134.41457971943,5560.77064418309,31107.5310213375,6156.92086054459
"CASES_lag4-MOB_IND",6310.48253703773,38191.602833907,6807.21562786342,6333.66841401007,38208.9922416363,6830.40150483577
"CASES_lag4-TEST-MOB",5405.28155934357,21068.2595190784,5729.17677087064,5433.41441037503,21090.7657999036,5757.30962190209
"CASES_lag4-MOB_IND-MOB",5520.70814915098,31000.0710009892,6133.96156497554,5548.84100018243,31022.5772818143,6162.094416007
"CASES_lag4-MOB_IND-MOB-TEST",4971.61953636237,17807.4577253917,5676.43891248984,5005.37895760011,17835.5905764232,5710.19833372758
