date,r2
2020-01-07,NA
2020-01-08,0.0320498092454059
2020-01-09,0.0572199291800541
2020-01-10,0.0849059136143693
2020-01-11,0.102293676664762
2020-01-12,0.0789886810271998
2020-01-13,0.0721024041303813
2020-01-14,0.0498579855059995
2020-01-15,0.0827488404439253
2020-01-16,0.0948463304471856
2020-01-17,0.147599325076058
2020-01-18,0.16582517410619
2020-01-19,0.332828390478015
2020-01-20,0.577932036804562
2020-01-21,0.580130707011528
2020-01-22,0.649319136480626
2020-01-23,0.501177951738951
2020-01-24,0.455217890031381
2020-01-25,0.383115935519962
2020-01-26,0.483652717270056
2020-01-27,0.45457883904032
2020-01-28,0.450176738651698
2020-01-29,0.388895777293694
2020-01-30,0.468152869262904
2020-01-31,0.445650643184967
2020-02-01,0.525983276240688
2020-02-02,0.339647501737725
2020-02-03,0.309239052596923
2020-02-04,0.0381901800122826
